Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,link,id
3/19/2013,,Dallas Baptist,W,2-0,29,2,6,2,1,0,0,2,0,1,1,1,0,0,1,7,27,8,0,.207,/boxscore.aspx?id=4576&path=baseball,4576
3/17/2013,,Georgia,W,11-4,37,11,14,11,4,1,2,6,0,3,0,0,0,1,0,4,27,8,1,.378,/boxscore.aspx?id=4575&path=baseball,4575
3/16/2013,,Georgia,W,2-1,34,2,8,2,1,0,0,3,0,3,1,0,1,0,0,11,30,6,0,.235,/boxscore.aspx?id=4574&path=baseball,4574
3/15/2013,,Georgia,W,4-1,24,4,6,3,1,0,0,4,0,2,0,1,3,0,2,3,27,11,1,.250,/boxscore.aspx?id=4573&path=baseball,4573
3/12/2013,,Houston Baptist,W,6-5,36,6,9,5,3,0,1,10,0,0,0,0,1,0,0,2,27,7,0,.250,/boxscore.aspx?id=4572&path=baseball,4572
3/10/2013,at,Cal State Fullerton,L,6-7,40,6,15,6,1,0,0,2,0,0,1,1,0,0,2,9,24,8,0,.375,/boxscore.aspx?id=4571&path=baseball,4571
3/9/2013,at,Cal State Fullerton,L,0-2,33,0,7,0,2,0,0,1,0,2,0,0,1,0,0,7,24,8,2,.212,/boxscore.aspx?id=4570&path=baseball,4570
3/8/2013,at,Cal State Fullerton,W,6-1,34,6,9,5,3,0,0,0,0,0,0,0,1,1,0,7,27,12,2,.265,/boxscore.aspx?id=4569&path=baseball,4569
3/5/2013,,Prairie View A&M,W,8-2,34,8,11,8,2,1,1,3,0,2,0,0,3,0,0,7,27,8,1,.324,/boxscore.aspx?id=4568&path=baseball,4568
3/3/2013,vs,North Carolina,L,2-14,24,2,3,2,0,0,0,10,0,3,0,1,1,0,0,9,18,10,0,.125,/boxscore.aspx?id=4565&path=baseball,4565
3/2/2013,vs,Rice,W,8-3,29,8,11,7,1,0,0,2,0,0,0,0,3,1,1,8,27,9,0,.379,/boxscore.aspx?id=4563&path=baseball,4563
3/1/2013,vs,Houston,L,6-7,35,6,12,6,4,1,1,1,0,0,1,2,3,1,0,4,27,13,1,.343,/boxscore.aspx?id=4560&path=baseball,4560
2/27/2013,,Northwestern State,W,2-1,29,2,8,2,1,1,0,4,0,2,0,1,4,0,1,7,27,12,1,.276,/boxscore.aspx?id=4557&path=baseball,4557
